suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
suttavanalliyU sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliyU_nu_INCL
suttavanalliyo sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliyo_nu_DUB
suttavanalliyo sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliyo_nu_INDF
suttavanalliyo sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliyo_nu_PRES
suttavanalliye sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliye_nu_IMPH
suttavanalliye sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliye_nu_DECL
suttavanalliye sudu(V4)+tta_du_PRP+ttavanu_tta_LOC+nalliye_nu_RIS
suttavanigoskara sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskara_nu_3SM
suttavanigoskaravA sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskaravA_nu_INTR
suttavanigoskaravU sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskaravU_nu_INCL
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskaravo_nu_DUB
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskaravo_nu_INDF
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskaravo_nu_PRES
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskarave_nu_IMPH
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskarave_nu_DECL
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigoskarave_nu_RIS
suttavanigoskara sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskara_nu_3SM
suttavanigoskaravA sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskaravA_nu_INTR
suttavanigoskaravU sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskaravU_nu_INCL
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskaravo_nu_DUB
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskaravo_nu_INDF
suttavanigoskaravo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskaravo_nu_PRES
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskarave_nu_IMPH
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskarave_nu_DECL
suttavanigoskarave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigoskarave_nu_RIS
suttavanigAgi sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgi_nu_3SM
suttavanigAgiyA sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiyA_nu_INTR
suttavanigAgiyU sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiyU_nu_INCL
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiyo_nu_DUB
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiyo_nu_INDF
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiyo_nu_PRES
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiye_nu_IMPH
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiye_nu_DECL
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigAgiye_nu_RIS
suttavanigAgi sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgi_nu_3SM
suttavanigAgiyA sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiyA_nu_INTR
suttavanigAgiyU sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiyU_nu_INCL
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiyo_nu_DUB
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiyo_nu_INDF
suttavanigAgiyo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiyo_nu_PRES
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiye_nu_IMPH
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiye_nu_DECL
suttavanigAgiye sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigAgiye_nu_RIS
suttavanigosuga sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosuga_nu_3SM
suttavanigosugavA sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugavA_nu_INTR
suttavanigosugavU sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugavU_nu_INCL
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugavo_nu_DUB
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugavo_nu_INDF
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugavo_nu_PRES
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugave_nu_IMPH
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugave_nu_DECL
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_BEN+nigosugave_nu_RIS
suttavanigosuga sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosuga_nu_3SM
suttavanigosugavA sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugavA_nu_INTR
suttavanigosugavU sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugavU_nu_INCL
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugavo_nu_DUB
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugavo_nu_INDF
suttavanigosugavo sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugavo_nu_PRES
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugave_nu_IMPH
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugave_nu_DECL
suttavanigosugave sudu(V4)+tta_du_PRP+ttavanu_tta_PUR+nigosugave_nu_RIS
suttavanigiMwa sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwa_nu_3SM
suttavanigiMwalA sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwalA_nu_INTR
suttavanigiMwalU sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwalU_nu_INCL
suttavanigiMwalo sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwalo_nu_DUB
suttavanigiMwalo sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwalo_nu_INDF
suttavanigiMwalo sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwalo_nu_PRES
suttavanigiMwale sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwale_nu_IMPH
suttavanigiMwale sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwale_nu_DECL
suttavanigiMwale sudu(V4)+tta_du_PRP+ttavanu_tta_COMP+nigiMwale_nu_RIS
suttavanaxeV sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeV_nu_3SM
suttavanaxeVyA sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVyA_nu_INTR
suttavanaxeVyU sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVyU_nu_DUB
suttavanaxeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVyo_nu_INDF
suttavanaxeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVyo_nu_PRES
suttavanaxeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVye_nu_IMPH
suttavanaxeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVye_nu_DECL
suttavanaxeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SIM+naxeVye_nu_RIS
suttavanoVdaneV sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneV_nu_3SM
suttavanoVdaneVyA sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVyA_nu_INTR
suttavanoVdaneVyU sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVyU_nu_INCL
suttavanoVdaneVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVyo_nu_DUB
suttavanoVdaneVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVyo_nu_INDF
suttavanoVdaneVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVyo_nu_PRES
suttavanoVdaneVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVye_nu_IMPH
suttavanoVdaneVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVye_nu_DECL
suttavanoVdaneVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVdaneVye_nu_RIS
suttavanoVMxigeV sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeV_nu_3SM
suttavanoVMxigeVyA sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVyA_nu_INTR
suttavanoVMxigeVyU sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVyU_nu_INCL
suttavanoVMxigeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVyo_nu_DUB
suttavanoVMxigeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVyo_nu_INDF
suttavanoVMxigeVyo sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVyo_nu_PRES
suttavanoVMxigeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVye_nu_IMPH
suttavanoVMxigeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVye_nu_DECL
suttavanoVMxigeVye sudu(V4)+tta_du_PRP+ttavanu_tta_SOC+noVMxigeVye_nu_RIS
suttavalYannu sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYannu_lYu_3SF
suttavalYannA sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYannA_lYu_INTR
suttavalYannU sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYannU_lYu_INCL
suttavalYanno sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanno_lYu_DUB
suttavalYanno sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanno_lYu_INDF
suttavalYanno sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanno_lYu_PRES
suttavalYanne sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanne_lYu_IMPH
suttavalYanne sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanne_lYu_DECL
suttavalYanne sudu(V4)+tta_du_PRP+ttavalYu_tta_ACC+lYanne_lYu_RIS
suttavalYiMxa sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxa_lYu_3SF
suttavalYiMxalA sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxalA_lYu_INTR
suttavalYiMxalU sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxalU_lYu_INCL
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxalo_lYu_DUB
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxalo_lYu_INDF
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxalo_lYu_PRES
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxale_lYu_IMPH
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxale_lYu_DECL
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_INS+lYiMxale_lYu_RIS
suttavalYigeV sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeV_lYu_3SF
suttavalYigeVyA sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVyA_lYu_INTR
suttavalYigeVyU sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVyU_lYu_INCL
suttavalYigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVyo_lYu_DUB
suttavalYigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVyo_lYu_INDF
suttavalYigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVyo_lYu_PRES
suttavalYigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVye_lYu_IMPH
suttavalYigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVye_lYu_DECL
suttavalYigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_DAT+lYigeVye_lYu_RIS
suttavalYiMxa  sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxa_lYu_3SF
suttavalYiMxalA sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxalA_lYu_INTR
suttavalYiMxalU sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxalU_lYu_INCL
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxalo_lYu_DUB
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxalo_lYu_INDF
suttavalYiMxalo sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxalo_lYu_PRES
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxale_lYu_IMPH
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxale_lYu_DECL
suttavalYiMxale sudu(V4)+tta_du_PRP+ttavalYu_tta_ABL+lYiMxale_lYu_RIS
suttavalYa sudu(V4)+tta_du_PRP+ttavalYu_tta_GEN+lYa_lYu_3SF
suttavalYalli sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalli_lYu_3SF
suttavalYalliyA sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliyA_lYu_INTR
suttavalYalliyU sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliyU_lYu_INCL
suttavalYalliyo sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliyo_lYu_DUB
suttavalYalliyo sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliyo_lYu_INDF
suttavalYalliyo sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliyo_lYu_PRES
suttavalYalliye sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliye_lYu_IMPH
suttavalYalliye sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliye_lYu_DECL
suttavalYalliye sudu(V4)+tta_du_PRP+ttavalYu_tta_LOC+lYalliye_lYu_RIS
suttavalYigoskara sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskara_lYu_3SF
suttavalYigoskaravA sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskaravA_lYu_INTR
suttavalYigoskaravU sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskaravU_lYu_INCL
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskaravo_lYu_DUB
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskaravo_lYu_INDF
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskaravo_lYu_PRES
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskarave_lYu_IMPH
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskarave_lYu_DECL
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigoskarave_lYu_RIS
suttavalYigoskara sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskara_lYu_3SF
suttavalYigoskaravA sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskaravA_lYu_INTR
suttavalYigoskaravU sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskaravU_lYu_INCL
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskaravo_lYu_DUB
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskaravo_lYu_INDF
suttavalYigoskaravo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskaravo_lYu_PRES
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskarave_lYu_IMPH
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskarave_lYu_DECL
suttavalYigoskarave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigoskarave_lYu_RIS
suttavalYigAgi sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgi_lYu_3SF
suttavalYigAgiyA sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiyA_lYu_INTR
suttavalYigAgiyU sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiyU_lYu_INCL
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiyo_lYu_DUB
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiyo_lYu_INDF
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiyo_lYu_PRES
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiye_lYu_IMPH
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiye_lYu_DECL
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigAgiye_lYu_RIS
suttavalYigAgi sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgi_lYu_3SF
suttavalYigAgiyA sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiyA_lYu_INTR
suttavalYigAgiyU sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiyU_lYu_INCL
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiyo_lYu_DUB
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiyo_lYu_INDF
suttavalYigAgiyo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiyo_lYu_PRES
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiye_lYu_IMPH
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiye_lYu_DECL
suttavalYigAgiye sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigAgiye_lYu_RIS
suttavalYigosuga sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosuga_lYu_3SF
suttavalYigosugavA sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugavA_lYu_INTR
suttavalYigosugavU sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugavU_lYu_INCL
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugavo_lYu_DUB
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugavo_lYu_INDF
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugavo_lYu_PRES
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugave_lYu_IMPH
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugave_lYu_DECL
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_BEN+lYigosugave_lYu_RIS
suttavalYigosuga sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosuga_lYu_3SF
suttavalYigosugavA sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugavA_lYu_INTR
suttavalYigosugavU sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugavU_lYu_INCL
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugavo_lYu_DUB
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugavo_lYu_INDF
suttavalYigosugavo sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugavo_lYu_PRES
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugave_lYu_IMPH
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugave_lYu_DECL
suttavalYigosugave sudu(V4)+tta_du_PRP+ttavalYu_tta_PUR+lYigosugave_lYu_RIS
suttavalYigiMwa sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwa_lYu_3SF
suttavalYigiMwalA sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwalA_lYu_INTR
suttavalYigiMwalU sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwalU_lYu_INCL
suttavalYigiMwalo sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwalo_lYu_DUB
suttavalYigiMwalo sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwalo_lYu_INDF
suttavalYigiMwalo sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwalo_lYu_PRES
suttavalYigiMwale sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwale_lYu_IMPH
suttavalYigiMwale sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwale_lYu_DECL
suttavalYigiMwale sudu(V4)+tta_du_PRP+ttavalYu_tta_COMP+lYigiMwale_lYu_RIS
suttavalYsutteV sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYsutteV_lYu_3SF
suttavalYaxeVyA sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYaxeVyA_lYu_INTR
suttavalYaxeVyU sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYaxeVyU_lYu_INCL
suttavalYaxeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYaxeVyo_lYu_DUB
suttavalYaxeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYaxeVyo_lYu_INDF
suttavalYaxeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYaxeVyo_lYu_PRES
suttavalYxeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYxeVye_lYu_IMPH
suttavalYxeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYxeVye_lYu_DECL
suttavalYxeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SIM+lYxeVye_lYu_RIS
suttavalYoVdaneV sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneV_lYu_3SF
suttavalYoVdaneVyA sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVyA_lYu_INTR
suttavalYoVdaneVyU sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVyU_lYu_INCL
suttavalYoVdaneVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVyo_lYu_DUB
suttavalYoVdaneVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVyo_lYu_INDF
suttavalYoVdaneVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVyo_lYu_PRES
suttavalYoVdaneVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVye_lYu_IMPH
suttavalYoVdaneVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVye_lYu_DECL
suttavalYoVdaneVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVdaneVye_lYu_RIS
suttavalYoVMxigeV  sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeV_lYu_3SF
suttavalYoVMxigeVyA sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVyA_lYu_INTR
suttavalYoVMxigeVyU sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVyU_lYu_INCL
suttavalYoVMxigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVyo_lYu_DUB
suttavalYoVMxigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVyo_lYu_INDF
suttavalYoVMxigeVyo sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVyo_lYu_PRES
suttavalYoVMxigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVye_lYu_IMPH
suttavalYoVMxigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVye_lYu_DECL
suttavalYoVMxigeVye sudu(V4)+tta_du_PRP+ttavalYu_tta_SOC+lYoVMxigeVye_lYu_RIS
suttavarannu sudu(V4)+tta_du_PRP+ttavaru_tta_ACC+rannu_ru_3P
suttavariMxalA sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxalA_ru_INTR
suttavariMxalU sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxalU_ru_INCL
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxalo_ru_DUB
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxalo_ru_INDF
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxalo_ru_PRES
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxale_ru_IMPH
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxale_ru_DECL
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_INS+riMxale_ru_RIS
suttavarigeV sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeV_ru_3P
suttavarigeVyA sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVyA_ru_INTR
suttavarigeVyU sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVyU_ru_INCL
suttavarigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVyo_ru_DUB
suttavarigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVyo_ru_INDF
suttavarigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVyo_ru_PRES
suttavarigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVye_ru_IMPH
suttavarigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVye_ru_DECL
suttavarigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_DAT+rigeVye_ru_RIS
suttavariMxa  sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxa_ru_3P
