sawwanu sAyu(V2)+awwa_Ayu_PAST+anu_a_3SM   
sAyuvuxaralliyo sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliyo_xu_DUB
sAyuvuxaralliyo sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliyo_xu_INDF
sAyuvuxaralliyo sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliyo_xu_PRES
sAyuvuxaralliye sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliye_xu_IMPH
sAyuvuxaralliye sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliye_xu_DECL
sAyuvuxaralliye sAyu(V2)+Ayuvuxu_Ayu_LOC+xaralliye_xu_RIS
sAyuvuxakkoskaravA sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskaravA_xu_INTR
sAyuvuxakkoskaravU sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskaravU_xu_INCL
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskaravo_xu_DUB
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskaravo_xu_INDF
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskaravo_xu_PRES
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskarave_xu_IMPH
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskarave_xu_DECL
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkoskarave_xu_RIS
sAyuvuxakkoskaravA sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskaravA_xu_INTR
sAyuvuxakkoskaravU sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskaravU_xu_INCL
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskaravo_xu_DUB
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskaravo_xu_INDF
sAyuvuxakkoskaravo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskaravo_xu_PRES
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskarave_xu_IMPH
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskarave_xu_DECL
sAyuvuxakkoskarave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkoskarave_xu_RIS
sAyuvuxakkAgiyA sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiyA_xu_INTR
sAyuvuxakkAgiyU sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiyU_xu_INCL
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiyo_xu_DUB
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiyo_xu_INDF
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiyo_xu_PRES
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiye_xu_IMPH
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiye_xu_DECL
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkAgiye_xu_RIS
sAyuvuxakkAgiyA sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiyA_xu_INTR
sAyuvuxakkAgiyU sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiyU_xu_INCL
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiyo_xu_DUB
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiyo_xu_INDF
sAyuvuxakkAgiyo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiyo_xu_PRES
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiye_xu_IMPH
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiye_xu_DECL
sAyuvuxakkAgiye sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkAgiye_xu_RIS
sAyuvuxakkosugavA sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugavA_xu_INTR
sAyuvuxakkosugavU sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugavU_xu_INCL
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugavo_xu_DUB
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugavo_xu_INDF
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugavo_xu_PRES
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugave_xu_IMPH
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugave_xu_DECL
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_BEN+xakkosugave_xu_RIS
sAyuvuxakkosugavA sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugavA_xu_INTR
sAyuvuxakkosugavU sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugavU_xu_INCL
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugavo_xu_DUB
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugavo_xu_INDF
sAyuvuxakkosugavo sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugavo_xu_PRES
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugave_xu_IMPH
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugave_xu_DECL
sAyuvuxakkosugave sAyu(V2)+Ayuvuxu_Ayu_PUR+xakkosugave_xu_RIS
sAyuvuxakkiMwalA sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwalA_xu_INTR
sAyuvuxakkiMwalU sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwalU_xu_INCL
sAyuvuxakkiMwalo sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwalo_xu_DUB
sAyuvuxakkiMwalo sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwalo_xu_INDF
sAyuvuxakkiMwalo sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwalo_xu_PRES
sAyuvuxakkiMwale sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwale_xu_IMPH
sAyuvuxakkiMwale sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwale_xu_DECL
sAyuvuxakkiMwale sAyu(V2)+Ayuvuxu_Ayu_COMP+xakkiMwale_xu_RIS
sAyuvaMweVyA sAyu(V2)+Ayuva_Ayu_SIM+vaMweVyA_va_INTR
sAyuvaMweVyU sAyu(V2)+Ayuva_Ayu_SIM+vaMweVyU_va_INCL
sAyuvaMweVyo sAyu(V2)+Ayuva_Ayu_SIM+vaMweVyo_va_DUB
sAyuvaMweVyo sAyu(V2)+Ayuva_Ayu_SIM+vaMweVyo_va_INDF
sAyuvaMweVyo sAyu(V2)+Ayuva_Ayu_SIM+vaMweVyo_va_PRES
sAyuvaMweVye sAyu(V2)+Ayuva_Ayu_SIM+vaMweVye_va_IMPH
sAyuvaMweVye sAyu(V2)+Ayuva_Ayu_SIM+vaMweVye_va_DECL
sAyuvaMweVye sAyu(V2)+Ayuva_Ayu_SIM+vaMweVye_va_RIS
sAyuvuxaroVMxigeVyA sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVyA_xu_INTR
sAyuvuxaroVMxigeVyU sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVyU_xu_INCL
sAyuvuxaroVMxigeVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVyo_xu_DUB
sAyuvuxaroVMxigeVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVyo_xu_INDF
sAyuvuxaroVMxigeVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVyo_xu_PRES
sAyuvuxaroVMxigeVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVye_xu_IMPH
sAyuvuxaroVMxigeVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVye_xu_DECL
sAyuvuxaroVMxigeVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVMxigeVye_xu_RIS
sAyuvuxaroVdaneVyA sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVyA_xu_INTR
sAyuvuxaroVdaneVyU sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVyU_xu_INCL
sAyuvuxaroVdaneVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVyo_xu_DUB
sAyuvuxaroVdaneVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVyo_xu_INDF
sAyuvuxaroVdaneVyo sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVyo_xu_PRES
sAyuvuxaroVdaneVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVye_xu_IMPH
sAyuvuxaroVdaneVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVye_xu_DECL
sAyuvuxaroVdaneVye sAyu(V2)+Ayuvuxu_Ayu_SOC+xaroVdaneVye_xu_RIS



