apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisuvuxaixagiyo apaharisu(V27)+vuxu_#_PUR+xaixagiyo_xu_PRES
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_PUR+xaixagiye_xu_IMPH
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_PUR+xaixagiye_xu_DECL
apaharisuvuxaixagiye apaharisu(V27)+vuxu_#_PUR+xaixagiye_xu_RIS
apaharisuvuxakkosugavA apaharisu(V27)+vuxu_#_BEN+xakkosugavA_xu_INTR
apaharisuvuxakkosugavU apaharisu(V27)+vuxu_#_BEN+xakkosugavU_xu_INCL
apaharisuvuxakkosugavo apaharisu(V27)+vuxu_#_BEN+xakkosugavo_xu_DUB
apaharisuvuxakkosugavo apaharisu(V27)+vuxu_#_BEN+xakkosugavo_xu_INDF
apaharisuvuxakkosugavo apaharisu(V27)+vuxu_#_BEN+xakkosugavo_xu_PRES
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_BEN+xakkosugave_xu_IMPH
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_BEN+xakkosugave_xu_DECL
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_BEN+xakkosugave_xu_RIS
apaharisuvuxakkosugavA apaharisu(V27)+vuxu_#_PUR+xakkosugavA_xu_INTR
apaharisuvuxakkosugavU apaharisu(V27)+vuxu_#_PUR+xakkosugavU_xu_INCL
apaharisuvuxakkosugavo apaharisu(V27)+vuxu_#_PUR+xakkosugavo_xu_DUB
apaharisuvuxakkosugavo apaharisu(V27)+vuxu_#_PUR+xakkosugavo_xu_PRES
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_PUR+xakkosugave_xu_IMPH
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_PUR+xakkosugave_xu_DECL
apaharisuvuxakkosugave apaharisu(V27)+vuxu_#_PUR+xakkosugave_xu_RIS
apaharisuvuxakkiMwalA apaharisu(V27)+vuxu_#_COMP+xakkiMwalA_xu_INTR
apaharisuvuxakkiMwalU apaharisu(V27)+vuxu_#_COMP+xakkiMwalU_xu_INCL
apaharisuvuxakkiMwalo apaharisu(V27)+vuxu_#_COMP+xakkiMwalo_xu_DUB
apaharisuvuxakkiMwalo apaharisu(V27)+vuxu_#_COMP+xakkiMwalo_xu_INDF
apaharisuvuxakkiMwalo apaharisu(V27)+vuxu_#_COMP+xakkiMwalo_xu_PRES
apaharisuvuxakkiMwale apaharisu(V27)+vuxu_#_COMP+xakkiMwale_xu_IMPH
apaharisuvuxakkiMwale apaharisu(V27)+vuxu_#_COMP+xakkiMwale_xu_DECL
apaharisuvuxakkiMwale apaharisu(V27)+vuxu_#_COMP+xakkiMwale_xu_RIS
apaharisuvaMweVyA apaharisu(V27)+va_#_SIM+vaMweVyA_va_INTR
apaharisuvaMweVyU apaharisu(V27)+va_#_SIM+vaMweVyU_va_INCL
apaharisuvaMweVyo apaharisu(V27)+va_#_SIM+vaMweVyo_va_DUB
apaharisuvaMweVyo apaharisu(V27)+va_#_SIM+vaMweVyo_va_INDF
apaharisuvaMweVyo apaharisu(V27)+va_#_SIM+vaMweVyo_va_PRES
apaharisuvaMweVye apaharisu(V27)+va_#_SIM+vaMweVye_va_IMPH
apaharisuvaMweVye apaharisu(V27)+va_#_SIM+vaMweVye_va_DECL
apaharisuvaMweVye apaharisu(V27)+va_#_SIM+vaMweVye_va_RIS
apaharisuvuxaroVMxigeVyA apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
apaharisuvuxaroVMxigeVyU apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
apaharisuvuxaroVMxigeVyo apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
apaharisuvuxaroVMxigeVyo apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
apaharisuvuxaroVMxigeVyo apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
apaharisuvuxaroVMxigeVye apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
apaharisuvuxaroVMxigeVye apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
apaharisuvuxaroVMxigeVye apaharisu(V27)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
apaharisuvuxaroVdaneVyA apaharisu(V27)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
apaharisuvuxaroVdaneVyU apaharisu(V27)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
apaharisuvuxaroVdaneVyo apaharisu(V27)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
apaharisuvuxaroVdaneVyo apaharisu(V27)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
apaharisuvuxaroVdaneVyo apaharisu(V27)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
apaharisuvuxaroVdaneVye apaharisu(V27)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
apaharisuvuxaroVdaneVye apaharisu(V27)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
apaharisuvuxaroVdaneVye apaharisu(V27)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


apaharisixavanannu apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannu_nu_3SM
apaharisixavanannA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannA_nu_INTR
apaharisixavanannU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannU_nu_INCL
apaharisixavananno apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_DUB
apaharisixavananno apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_INDF
apaharisixavananno apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_PRES
apaharisixavananne apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_IMPH
apaharisixavananne apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_DECL
apaharisixavananne apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_RIS
apaharisixavaniMxa apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxa_nu_3SM
apaharisixavaniMxalA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalA_nu_INTR
apaharisixavaniMxalU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalU_nu_INCL
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_DUB
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_INDF
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_PRES
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_IMPH
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_DECL
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_RIS
apaharisixavanalligeV apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeV_nu_3SM
apaharisixavanalligeVyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyA_nu_INTR
apaharisixavanalligeVyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyU_nu_INCL
apaharisixavanalligeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_DUB
apaharisixavanalligeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_INDF
apaharisixavanalligeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_PRES
apaharisixavanalligeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_IMPH
apaharisixavanalligeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_DECL
apaharisixavanalligeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_RIS
apaharisixavaniMxa  apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxa_nu_3SM
apaharisixavaniMxalA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalA_nu_INTR
apaharisixavaniMxalU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalU_nu_INCL
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_DUB
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_INDF
apaharisixavaniMxalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_PRES
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_IMPH
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_DECL
apaharisixavaniMxale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_RIS
apaharisixavana apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_GEN+na_nu_3SM
apaharisixavanalli apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalli_nu_3SM
apaharisixavanalliyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyA_nu_INTR
apaharisixavanalliyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyU_nu_INCL
apaharisixavanalliyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_DUB
apaharisixavanalliyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_INDF
apaharisixavanalliyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_PRES
apaharisixavanalliye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_IMPH
apaharisixavanalliye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_DECL
apaharisixavanalliye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_RIS
apaharisixavanigoskara apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskara_nu_3SM
apaharisixavanigoskaravA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravA_nu_INTR
apaharisixavanigoskaravU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravU_nu_INCL
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_DUB
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_INDF
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_PRES
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_IMPH
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_DECL
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_RIS
apaharisixavanigoskara apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskara_nu_3SM
apaharisixavanigoskaravA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravA_nu_INTR
apaharisixavanigoskaravU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravU_nu_INCL
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_DUB
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_INDF
apaharisixavanigoskaravo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_PRES
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_IMPH
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_DECL
apaharisixavanigoskarave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_RIS
apaharisixavanigAgi apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgi_nu_3SM
apaharisixavanigAgiyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyA_nu_INTR
apaharisixavanigAgiyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyU_nu_INCL
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_DUB
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_INDF
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_PRES
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_IMPH
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_DECL
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_RIS
apaharisixavanigAgi apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgi_nu_3SM
apaharisixavanigAgiyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyA_nu_INTR
apaharisixavanigAgiyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyU_nu_INCL
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_DUB
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_INDF
apaharisixavanigAgiyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_PRES
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_IMPH
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_DECL
apaharisixavanigAgiye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_RIS
apaharisixavanigosuga apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosuga_nu_3SM
apaharisixavanigosugavA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavA_nu_INTR
apaharisixavanigosugavU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavU_nu_INCL
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_DUB
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_INDF
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_PRES
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_IMPH
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_DECL
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_RIS
apaharisixavanigosuga apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosuga_nu_3SM
apaharisixavanigosugavA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavA_nu_INTR
apaharisixavanigosugavU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavU_nu_INCL
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_DUB
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_INDF
apaharisixavanigosugavo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_PRES
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_IMPH
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_DECL
apaharisixavanigosugave apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_RIS
apaharisixavanigiMwa apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwa_nu_3SM
apaharisixavanigiMwalA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalA_nu_INTR
apaharisixavanigiMwalU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalU_nu_INCL
apaharisixavanigiMwalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_DUB
apaharisixavanigiMwalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_INDF
apaharisixavanigiMwalo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_PRES
apaharisixavanigiMwale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_IMPH
apaharisixavanigiMwale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_DECL
apaharisixavanigiMwale apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_RIS
apaharisixavanaxeV apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeV_nu_3SM
apaharisixavanaxeVyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyA_nu_INTR
apaharisixavanaxeVyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyU_nu_DUB
apaharisixavanaxeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_INDF
apaharisixavanaxeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_PRES
apaharisixavanaxeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_IMPH
apaharisixavanaxeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_DECL
apaharisixavanaxeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_RIS
apaharisixavanoVdaneV apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneV_nu_3SM
apaharisixavanoVdaneVyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyA_nu_INTR
apaharisixavanoVdaneVyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyU_nu_INCL
apaharisixavanoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_DUB
apaharisixavanoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_INDF
apaharisixavanoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_PRES
apaharisixavanoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_IMPH
apaharisixavanoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_DECL
apaharisixavanoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_RIS
apaharisixavanoVMxigeV apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeV_nu_3SM
apaharisixavanoVMxigeVyA apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyA_nu_INTR
apaharisixavanoVMxigeVyU apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyU_nu_INCL
apaharisixavanoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_DUB
apaharisixavanoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_INDF
apaharisixavanoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_PRES
apaharisixavanoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_IMPH
apaharisixavanoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_DECL
apaharisixavanoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_RIS
apaharisixavalYannu apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannu_lYu_3SF
apaharisixavalYannA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannA_lYu_INTR
apaharisixavalYannU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannU_lYu_INCL
apaharisixavalYanno apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_DUB
apaharisixavalYanno apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_INDF
apaharisixavalYanno apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_PRES
apaharisixavalYanne apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_IMPH
apaharisixavalYanne apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_DECL
apaharisixavalYanne apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_RIS
apaharisixavalYiMxa apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxa_lYu_3SF
apaharisixavalYiMxalA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalA_lYu_INTR
apaharisixavalYiMxalU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalU_lYu_INCL
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_DUB
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_INDF
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_PRES
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_IMPH
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_DECL
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_RIS
apaharisixavalYigeV apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeV_lYu_3SF
apaharisixavalYigeVyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyA_lYu_INTR
apaharisixavalYigeVyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyU_lYu_INCL
apaharisixavalYigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_DUB
apaharisixavalYigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_INDF
apaharisixavalYigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_PRES
apaharisixavalYigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_IMPH
apaharisixavalYigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_DECL
apaharisixavalYigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_RIS
apaharisixavalYiMxa  apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxa_lYu_3SF
apaharisixavalYiMxalA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalA_lYu_INTR
apaharisixavalYiMxalU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalU_lYu_INCL
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_DUB
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_INDF
apaharisixavalYiMxalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_PRES
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_IMPH
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_DECL
apaharisixavalYiMxale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_RIS
apaharisixavalYa apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_GEN+lYa_lYu_3SF
apaharisixavalYalli apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalli_lYu_3SF
apaharisixavalYalliyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyA_lYu_INTR
apaharisixavalYalliyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyU_lYu_INCL
apaharisixavalYalliyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_DUB
apaharisixavalYalliyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_INDF
apaharisixavalYalliyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_PRES
apaharisixavalYalliye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_IMPH
apaharisixavalYalliye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_DECL
apaharisixavalYalliye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_RIS
apaharisixavalYigoskara apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskara_lYu_3SF
apaharisixavalYigoskaravA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravA_lYu_INTR
apaharisixavalYigoskaravU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravU_lYu_INCL
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_DUB
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_INDF
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_PRES
