sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiye_nu_IMPH
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiye_nu_DECL
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigAgiye_nu_RIS
sowavanigAgi solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgi_nu_3SM
sowavanigAgiyA solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiyA_nu_INTR
sowavanigAgiyU solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiyU_nu_INCL
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiyo_nu_DUB
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiyo_nu_INDF
sowavanigAgiyo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiyo_nu_PRES
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiye_nu_IMPH
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiye_nu_DECL
sowavanigAgiye solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigAgiye_nu_RIS
sowavanigosuga solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosuga_nu_3SM
sowavanigosugavA solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugavA_nu_INTR
sowavanigosugavU solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugavU_nu_INCL
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugavo_nu_DUB
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugavo_nu_INDF
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugavo_nu_PRES
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugave_nu_IMPH
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugave_nu_DECL
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_BEN+nigosugave_nu_RIS
sowavanigosuga solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosuga_nu_3SM
sowavanigosugavA solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugavA_nu_INTR
sowavanigosugavU solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugavU_nu_INCL
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugavo_nu_DUB
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugavo_nu_INDF
sowavanigosugavo solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugavo_nu_PRES
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugave_nu_IMPH
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugave_nu_DECL
sowavanigosugave solu(V5)+wa_lu_PRP+wavanu_wa_PUR+nigosugave_nu_RIS
sowavanigiwa solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwa_nu_3SM
sowavanigiwalA solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwalA_nu_INTR
sowavanigiwalU solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwalU_nu_INCL
sowavanigiwalo solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwalo_nu_DUB
sowavanigiwalo solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwalo_nu_INDF
sowavanigiwalo solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwalo_nu_PRES
sowavanigiwale solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwale_nu_IMPH
sowavanigiwale solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwale_nu_DECL
sowavanigiwale solu(V5)+wa_lu_PRP+wavanu_wa_COMP+nigiwale_nu_RIS
sowavanaMweV solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweV_nu_3SM
sowavanaMweVyA solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVyA_nu_INTR
sowavanaMweVyU solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVyU_nu_INCL
sowavanaMweVyo solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVyo_nu_DUB
sowavanaMweVyo solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVyo_nu_INDF
sowavanaMweVyo solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVyo_nu_PRES
sowavanaMweVye solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVye_nu_IMPH
sowavanaMweVye solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVye_nu_DECL
sowavanaMweVye solu(V5)+wa_lu_PRP+wavanu_wa_SIM+naMweVye_nu_RIS
sowavanoVdaneV solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneV_nu_3SM
sowavanoVdaneVyA solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVyA_nu_INTR
sowavanoVdaneVyU solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVyU_nu_INCL
sowavanoVdaneVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVyo_nu_DUB
sowavanoVdaneVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVyo_nu_INDF
sowavanoVdaneVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVyo_nu_PRES
sowavanoVdaneVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVye_nu_IMPH
sowavanoVdaneVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVye_nu_DECL
sowavanoVdaneVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVdaneVye_nu_RIS
sowavanoVMxigeV solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeV_nu_3SM
sowavanoVMxigeVyA solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVyA_nu_INTR
sowavanoVMxigeVyU solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVyU_nu_INCL
sowavanoVMxigeVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVyo_nu_DUB
sowavanoVMxigeVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVyo_nu_INDF
sowavanoVMxigeVyo solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVyo_nu_PRES
sowavanoVMxigeVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVye_nu_IMPH
sowavanoVMxigeVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVye_nu_DECL
sowavanoVMxigeVye solu(V5)+wa_lu_PRP+wavanu_wa_SOC+noVMxigeVye_nu_RIS
sowavalYannu solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYannu_lYu_3SF
sowavalYannA solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYannA_lYu_INTR
sowavalYannU solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYannU_lYu_INCL
sowavalYanno solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanno_lYu_DUB
sowavalYanno solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanno_lYu_INDF
sowavalYanno solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanno_lYu_PRES
sowavalYanne solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanne_lYu_IMPH
sowavalYanne solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanne_lYu_DECL
sowavalYanne solu(V5)+wa_lu_PRP+wavalYu_wa_ACC+lYanne_lYu_RIS
sowavalYiMxa solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxa_lYu_3SF
sowavalYiMxalA solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxalA_lYu_INTR
sowavalYiMxalU solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxalU_lYu_INCL
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxalo_lYu_DUB
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxalo_lYu_INDF
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxalo_lYu_PRES
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxale_lYu_IMPH
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxale_lYu_DECL
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_INS+lYiMxale_lYu_RIS
sowavalYigeV solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeV_lYu_3SF
sowavalYigeVyA solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVyA_lYu_INTR
sowavalYigeVyU solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVyU_lYu_INCL
sowavalYigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVyo_lYu_DUB
sowavalYigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVyo_lYu_INDF
sowavalYigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVyo_lYu_PRES
sowavalYigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVye_lYu_IMPH
sowavalYigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVye_lYu_DECL
sowavalYigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_DAT+lYigeVye_lYu_RIS
sowavalYiMxa  solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxa_lYu_3SF
sowavalYiMxalA solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxalA_lYu_INTR
sowavalYiMxalU solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxalU_lYu_INCL
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxalo_lYu_DUB
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxalo_lYu_INDF
sowavalYiMxalo solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxalo_lYu_PRES
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxale_lYu_IMPH
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxale_lYu_DECL
sowavalYiMxale solu(V5)+wa_lu_PRP+wavalYu_wa_ABL+lYiMxale_lYu_RIS
sowavalYa solu(V5)+wa_lu_PRP+wavalYu_wa_GEN+lYa_lYu_3SF
sowavalYalli solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalli_lYu_3SF
sowavalYalliyA solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliyA_lYu_INTR
sowavalYalliyU solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliyU_lYu_INCL
sowavalYalliyo solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliyo_lYu_DUB
sowavalYalliyo solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliyo_lYu_INDF
sowavalYalliyo solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliyo_lYu_PRES
sowavalYalliye solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliye_lYu_IMPH
sowavalYalliye solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliye_lYu_DECL
sowavalYalliye solu(V5)+wa_lu_PRP+wavalYu_wa_LOC+lYalliye_lYu_RIS
sowavalYigoskara solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskara_lYu_3SF
sowavalYigoskaravA solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskaravA_lYu_INTR
sowavalYigoskaravU solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskaravU_lYu_INCL
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskaravo_lYu_DUB
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskaravo_lYu_INDF
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskaravo_lYu_PRES
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskarave_lYu_IMPH
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskarave_lYu_DECL
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigoskarave_lYu_RIS
sowavalYigoskara solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskara_lYu_3SF
sowavalYigoskaravA solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskaravA_lYu_INTR
sowavalYigoskaravU solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskaravU_lYu_INCL
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskaravo_lYu_DUB
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskaravo_lYu_INDF
sowavalYigoskaravo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskaravo_lYu_PRES
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskarave_lYu_IMPH
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskarave_lYu_DECL
sowavalYigoskarave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigoskarave_lYu_RIS
sowavalYigAgi solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgi_lYu_3SF
sowavalYigAgiyA solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiyA_lYu_INTR
sowavalYigAgiyU solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiyU_lYu_INCL
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiyo_lYu_DUB
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiyo_lYu_INDF
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiyo_lYu_PRES
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiye_lYu_IMPH
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiye_lYu_DECL
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigAgiye_lYu_RIS
sowavalYigAgi solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgi_lYu_3SF
sowavalYigAgiyA solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiyA_lYu_INTR
sowavalYigAgiyU solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiyU_lYu_INCL
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiyo_lYu_DUB
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiyo_lYu_INDF
sowavalYigAgiyo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiyo_lYu_PRES
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiye_lYu_IMPH
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiye_lYu_DECL
sowavalYigAgiye solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigAgiye_lYu_RIS
sowavalYigosuga solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosuga_lYu_3SF
sowavalYigosugavA solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugavA_lYu_INTR
sowavalYigosugavU solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugavU_lYu_INCL
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugavo_lYu_DUB
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugavo_lYu_INDF
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugavo_lYu_PRES
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugave_lYu_IMPH
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugave_lYu_DECL
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_BEN+lYigosugave_lYu_RIS
sowavalYigosuga solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosuga_lYu_3SF
sowavalYigosugavA solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugavA_lYu_INTR
sowavalYigosugavU solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugavU_lYu_INCL
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugavo_lYu_DUB
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugavo_lYu_INDF
sowavalYigosugavo solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugavo_lYu_PRES
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugave_lYu_IMPH
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugave_lYu_DECL
sowavalYigosugave solu(V5)+wa_lu_PRP+wavalYu_wa_PUR+lYigosugave_lYu_RIS
sowavalYigiwa solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwa_lYu_3SF
sowavalYigiwalA solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwalA_lYu_INTR
sowavalYigiwalU solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwalU_lYu_INCL
sowavalYigiwalo solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwalo_lYu_DUB
sowavalYigiwalo solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwalo_lYu_INDF
sowavalYigiwalo solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwalo_lYu_PRES
sowavalYigiwale solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwale_lYu_IMPH
sowavalYigiwale solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwale_lYu_DECL
sowavalYigiwale solu(V5)+wa_lu_PRP+wavalYu_wa_COMP+lYigiwale_lYu_RIS
sowavalYaMweV solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweV_lYu_3SF
sowavalYaMweVyA solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVyA_lYu_INTR
sowavalYaMweVyU solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVyU_lYu_INCL
sowavalYaMweVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVyo_lYu_DUB
sowavalYaMweVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVyo_lYu_INDF
sowavalYaMweVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVyo_lYu_PRES
sowavalYaMweVye solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVye_lYu_IMPH
sowavalYaMweVye solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVye_lYu_DECL
sowavalYaMweVye solu(V5)+wa_lu_PRP+wavalYu_wa_SIM+lYaMweVye_lYu_RIS
sowavalYoVdaneV solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneV_lYu_3SF
sowavalYoVdaneVyA solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVyA_lYu_INTR
sowavalYoVdaneVyU solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVyU_lYu_INCL
sowavalYoVdaneVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVyo_lYu_DUB
sowavalYoVdaneVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVyo_lYu_INDF
sowavalYoVdaneVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVyo_lYu_PRES
sowavalYoVdaneVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVye_lYu_IMPH
sowavalYoVdaneVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVye_lYu_DECL
sowavalYoVdaneVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVdaneVye_lYu_RIS
sowavalYoVMxigeV  solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeV_lYu_3SF
sowavalYoVMxigeVyA solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVyA_lYu_INTR
sowavalYoVMxigeVyU solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVyU_lYu_INCL
sowavalYoVMxigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVyo_lYu_DUB
sowavalYoVMxigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVyo_lYu_INDF
sowavalYoVMxigeVyo solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVyo_lYu_PRES
sowavalYoVMxigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVye_lYu_IMPH
sowavalYoVMxigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVye_lYu_DECL
sowavalYoVMxigeVye solu(V5)+wa_lu_PRP+wavalYu_wa_SOC+lYoVMxigeVye_lYu_RIS
sowavarannu solu(V5)+wa_lu_PRP+wavaru_wa_ACC+rannu_ru_3P
sowavariMxalA solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxalA_ru_INTR
sowavariMxalU solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxalU_ru_INCL
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxalo_ru_DUB
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxalo_ru_INDF
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxalo_ru_PRES
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxale_ru_IMPH
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxale_ru_DECL
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_INS+riMxale_ru_RIS
sowavarigeV solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeV_ru_3P
sowavarigeVyA solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVyA_ru_INTR
sowavarigeVyU solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVyU_ru_INCL
sowavarigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVyo_ru_DUB
sowavarigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVyo_ru_INDF
sowavarigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVyo_ru_PRES
sowavarigeVye solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVye_ru_IMPH
sowavarigeVye solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVye_ru_DECL
sowavarigeVye solu(V5)+wa_lu_PRP+wavaru_wa_DAT+rigeVye_ru_RIS
sowavariMxa  solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxa_ru_3P
sowavariMxalA solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxalA_ru_INTR
sowavariMxalU solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxalU_ru_INCL
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxalo_ru_DUB
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxalo_ru_INDF
sowavariMxalo solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxalo_ru_PRES
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxale_ru_IMPH
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxale_ru_DECL
sowavariMxale solu(V5)+wa_lu_PRP+wavaru_wa_ABL+riMxale_ru_RIS
sowavara solu(V5)+wa_lu_PRP+wavaru_wa_GEN+ra_ru_3P
sowavaralli solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralli_ru_3P
sowavaralliyA solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliyA_ru_INTR
sowavaralliyU solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliyU_ru_INCL
sowavaralliyo solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliyo_ru_DUB
sowavaralliyo solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliyo_ru_INDF
sowavaralliyo solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliyo_ru_PRES
sowavaralliye solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliye_ru_IMPH
sowavaralliye solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliye_ru_DECL
sowavaralliye solu(V5)+wa_lu_PRP+wavaru_wa_LOC+ralliye_ru_RIS
sowavarigoskara solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskara_ru_3P
sowavarigoskaravA solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskaravA_ru_INTR
sowavarigoskaravU solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskaravU_ru_INCL
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskaravo_ru_DUB
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskaravo_ru_INDF
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskaravo_ru_PRES
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskarave_ru_IMPH
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskarave_ru_DECL
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigoskarave_ru_RIS
sowavarigoskara solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskara_ru_3P
sowavarigoskaravA solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskaravA_ru_INTR
sowavarigoskaravU solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskaravU_ru_INCL
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskaravo_ru_DUB
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskaravo_ru_INDF
sowavarigoskaravo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskaravo_ru_PRES
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskarave_ru_IMPH
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskarave_ru_DECL
sowavarigoskarave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigoskarave_ru_RIS
sowavarigAgi solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgi_ru_3P
